organizations	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	first_publication_year	last_year	age	global_citations_per_year	local_citations_per_year	global_citations_per_document	local_citations_per_document	h_index	g_index	m_index	counters
Massey Univ (NZL)	71	63	6	1	25	2	2022	2025	4	6.25	0.5	25.0	2.0	1	1	0.25	Massey Univ (NZL) 1:025
Nac Univ of Comput & Emerging Sciences (PAK)	72	64	7	1	25	2	2022	2025	4	6.25	0.5	25.0	2.0	1	1	0.25	Nac Univ of Comput & Emerging Sciences (PAK) 1:025
Unistruct Consult Engineers Pvt. Ltd. (LKA)	73	65	8	1	25	2	2022	2025	4	6.25	0.5	25.0	2.0	1	1	0.25	Unistruct Consult Engineers Pvt. Ltd. (LKA) 1:025
Univ of Peradeniya (LKA)	74	66	9	1	25	2	2022	2025	4	6.25	0.5	25.0	2.0	1	1	0.25	Univ of Peradeniya (LKA) 1:025
YMW Consult Engineers Pte. Ltd (SGP)	75	67	10	1	25	2	2022	2025	4	6.25	0.5	25.0	2.0	1	1	0.25	YMW Consult Engineers Pte. Ltd (SGP) 1:025
Westbrook Cent (GBR)	76	68	71	1	24	0	2007	2025	19	1.263157894736842	0.0	24.0	0.0	1	1	0.05	Westbrook Cent (GBR) 1:024
[UKN] Dept. of Civ Eng, Nac Univ. of Colombia, Cr. 80 #65-223-Camp Robledo, Medellín, 050034, Colombia (COL)	77	69	72	1	24	0	2022	2025	4	6.0	0.0	24.0	0.0	1	1	0.25	[UKN] Dept. of Civ Eng, Nac Univ. of Colombia, Cr. 80 #65-223-Camp Robledo, Medellín, 050034, Colombia (COL) 1:024
[UKN] Dept. of Eng, Univ. of Luxembourg, 6 Avenue de la Fonte, Maison du Nombre, office 0435010, Esch-sur-Alzette, 4364, Luxembourg (LUX)	78	70	73	1	24	0	2022	2025	4	6.0	0.0	24.0	0.0	1	1	0.25	[UKN] Dept. of Eng, Univ. of Luxembourg, 6 Avenue de la Fonte, Maison du Nombre, office 0435010, Esch-sur-Alzette, 4364, Luxembourg (LUX) 1:024
[UKN] Oxford Systematics, Heidelberg 3084, GPO Box 126, Australia (AUS)	79	71	74	1	24	0	2007	2025	19	1.263157894736842	0.0	24.0	0.0	1	1	0.05	[UKN] Oxford Systematics, Heidelberg 3084, GPO Box 126, Australia (AUS) 1:024
[UKN] Significance, 2316 XB Leiden, Schipholweg 13-15, Netherlands (NLD)	80	72	75	1	24	0	2007	2025	19	1.263157894736842	0.0	24.0	0.0	1	1	0.05	[UKN] Significance, 2316 XB Leiden, Schipholweg 13-15, Netherlands (NLD) 1:024
Iran Univ of Sci and Technol (IUST) (IRN)	81	74	77	1	23	0	2021	2025	5	4.6	0.0	23.0	0.0	1	1	0.2	Iran Univ of Sci and Technol (IUST) (IRN) 1:023
Lorestan Univ (IRN)	82	75	78	1	23	0	2021	2025	5	4.6	0.0	23.0	0.0	1	1	0.2	Lorestan Univ (IRN) 1:023
Univ of Florida (USA)	83	76	79	1	23	0	2022	2025	4	5.75	0.0	23.0	0.0	1	1	0.25	Univ of Florida (USA) 1:023
[UKN] Dept of Transport, Health, Safety, IFSTTAR, 69675 Bron Cedex, Lyon, France (FRA)	84	77	80	1	23	0	2021	2025	5	4.6	0.0	23.0	0.0	1	1	0.2	[UKN] Dept of Transport, Health, Safety, IFSTTAR, 69675 Bron Cedex, Lyon, France (FRA) 1:023
